Nr;Kategorie;Frage;Antwort A;Antwort B;Antwort C;Antwort D;Loesung;Paragraf;Begruendung
187;Gehalt;Was ist "Akkordlohn"?;Lohn nach Zeit;Lohn nach Leistung/Stückzahl;Urlaubsgeld;Festgehalt;B;§ 87 Abs. 1 Nr. 11 BetrVG;Entgeltform, bei der die Höhe vom Arbeitsergebnis abhängt. Die Einführung und Sätze sind mitbestimmungspflichtig.
188;Bildung;Darf der BR Schulungen für neue Gesetze besuchen?;Nein;Ja (Aktualisierung erforderlich);Nur bei Streik;Nur privat;B;§ 37 Abs. 6 BetrVG;Die Vermittlung von Kenntnissen über neue rechtliche Rahmenbedingungen gehört zu den erforderlichen Schulungen.
189;Allgemein;Was ist der "Gesamtbetriebsrat (GBR)"?;Alle BR-Mitglieder;Zusammenschluss bei mehreren Betrieben;Die Gewerkschaft;Der Vorstand;B;§ 47 BetrVG;Bestehen in einem Unternehmen mehrere Betriebsräte, so ist ein GBR zu errichten.
190;Arbeitszeit;Darf der BR "Gleitzeit" fordern?;Nein;Ja (Initiativrecht);Nur im Büro;Nur für Azubis;B;§ 87 Abs. 1 Nr. 2 BetrVG;Der BR kann die Einführung flexibler Arbeitszeiten verlangen, um die Vereinbarkeit von Beruf und Familie zu fördern.
191;Stahl;Was ist die "IG Metall"?;Ein Sportverein;Die zuständige Gewerkschaft für Stahl;Eine Versicherung;Ein Automobilclub;B;Tarifrecht;Gewerkschaft, die Tarifverträge für die Metall- und Elektroindustrie sowie Eisen und Stahl aushandelt.
192;Kuendigung;Darf der BR eine Kündigung wegen "Schwangerschaft" ablehnen?;Ja (Gesetzesverstoß);Nein;Nur bei Azubis;Nur im Büro;A;§ 17 MuSchG / § 102 BetrVG;Die Kündigung einer schwangeren Frau ist unzulässig; der BR muss widersprechen, da die Maßnahme gegen ein Gesetz verstößt.
193;Rechte;Darf der BR an Personalplanungen teilnehmen?;Nein;Ja (Informationsrecht);Nur bei Entlassungen;Nur bei Stahl;B;§ 92 BetrVG;Der AG hat den BR über die Personalplanung (Bedarf, Ausbildung, Qualifizierung) rechtzeitig zu informieren.
194;Arbeitsschutz;Muss der BR bei der "Lärmmessung" dabei sein?;Nein;Ja (Überwachungsrecht);Nur bei 100 dB;Nur nachts;B;§ 80 / § 89 BetrVG;Der BR hat das Recht, bei Messungen von Emissionen und Lärm am Arbeitsplatz teilzunehmen.
195;Personal;Darf der AG einen MA "verleihen"?;Immer;Nur mit Zustimmung des MA;Nie;Nur bei Azubis;B;AÜG / Arbeitsvertrag;Das Überlassen eines Mitarbeiters an einen Dritten bedarf in der Regel der schriftlichen Vereinbarung.
196;IT-Datenschutz;Was ist eine "Verfahrensverzeichnis"?;Eine Bauanleitung;Liste aller IT-Systeme mit Daten;Ein Urlaubsantrag;Ein Kündigungsgrund;B;DSGVO;Dokumentation darüber, welche personenbezogenen Daten wie und warum im Unternehmen verarbeitet werden.
197;Gehalt;Was ist eine "Eingruppierungsklage"?;Klage auf mehr Urlaub;Klage auf korrekte Lohnstufe;Klage gegen Chef;Klage auf Kündigung;B;Arbeitsrecht;Wenn ein MA oder der BR der Meinung ist, dass die aktuelle Tätigkeit einer höheren Entgeltgruppe entspricht.
198;Bildung;Darf der Chef eine Schulung "wegen zu hoher Kosten" ablehnen?;Nein;Nur wenn unverhältnismäßig teuer;Immer;Nur bei Stahl;B;§ 37 Abs. 6 BetrVG;Der AG muss die Kosten tragen, außer es gibt eine wesentlich günstigere, gleichwertige Schulung.
199;Allgemein;Was ist ein "Ersatzmitglied"?;Ein Azubi;Nachrücker für verhinderte BR-Mitglieder;Der Chef;Ein Polizist;B;§ 25 BetrVG;Scheidet ein Mitglied aus oder ist verhindert (Urlaub/Krankheit), rückt das nächste Ersatzmitglied der Liste nach.
200;Stahl;Darf der BR die Verteilung der Schichtzulagen mitbestimmen?;Nein;Ja (Verteilungsgrundsätze);Nur bei Hitze;Nur nachts;B;§ 87 Abs. 1 Nr. 10 BetrVG;Bei der Festsetzung von betrieblichen Lohn- und Gehaltsstrukturen (nicht der Höhe) hat der BR ein zwingendes Mitbestimmungsrecht.
201;Allgemein;Was ist ein "Freigestellter"?;Ein Arbeitsloser;BR-Mitglied ohne normale Arbeitspflicht;Ein Azubi;Der Chef;B;§ 38 BetrVG;Ab einer bestimmten Betriebsgröße (ab 200 MA) sind BR-Mitglieder komplett von ihrer beruflichen Tätigkeit freizustellen, um BR-Arbeit zu leisten.
202;Arbeitszeit;Muss der BR bei Kurzarbeit zustimmen?;Nein;Ja (Einführung und Ausgestaltung);Nur bei Kündigungen;Nur bei Stahl;B;§ 87 Abs. 1 Nr. 3 BetrVG;Die vorübergehende Verkürzung der betriebsüblichen Arbeitszeit (Kurzarbeit) ist zwingend mitbestimmungspflichtig.
203;Kuendigung;Was ist eine "Sozialauswahl"?;Auswahl der Kantine;Prüfung der Schutzwürdigkeit;Ein Fest;Wahl des BR;B;§ 1 KSchG;Bei betriebsbedingten Kündigungen müssen Alter, Betriebszugehörigkeit, Unterhaltspflichten und Behinderung verglichen werden.
204;Rechte;Darf der BR die Unterlagen zur Lohnsteuer einsehen?;Nein;Ja (Bruttolohnlisten);Nur bei Chefs;Nur bei Diebstahl;B;§ 80 Abs. 2 BetrVG;Der BR hat das Recht auf Einblick in die Listen über die Bruttolöhne und -gehälter, um die Entgeltgerechtigkeit zu prüfen.
205;Arbeitsschutz;Darf der BR eine Duschpflicht bei Giftstoffen fordern?;Nein;Ja (Gesundheitsschutz);Nur bei Hitze;Nur im Sommer;B;§ 87 Abs. 1 Nr. 7 BetrVG;Maßnahmen zur Unfallverhütung und zum Gesundheitsschutz (z.B. Hygiene bei Gefahrstoffen) unterliegen der Mitbestimmung.
206;Gehalt;Was ist eine "Zulage für Nachtarbeit"?;Geld für Schlaf;Geld für Arbeit zw. 23-6 Uhr;Bonus für Urlaub;Ein Darlehen;B;§ 6 ArbZG / TV;Nachtarbeitnehmer haben Anspruch auf einen angemessenen Zuschlag oder eine entsprechende Anzahl bezahlter freier Tage.
207;Personal;Darf der AG einen MA ohne BR zum Teamleiter machen?;Ja;Nein (Beförderung ist Versetzung);Nur bei Azubis;Nur im Büro;B;§ 95 Abs. 3 / § 99 BetrVG;Eine Beförderung ist rechtlich eine Versetzung, da sich der Aufgabenbereich ändert. Der BR muss zustimmen.
208;IT-Datenschutz;Muss der BR bei der Einführung von "Outlook" zustimmen?;Nein;Ja (Verhaltenskontrolle möglich);Nur bei E-Mails;Nur im Ausland;B;§ 87 Abs. 1 Nr. 6 BetrVG;Da Outlook zur Überwachung von Leistung oder Verhalten geeignet ist, besteht ein zwingendes Mitbestimmungsrecht.
209;Allgemein;Wann muss der AG eine Betriebsversammlung erlauben?;Nie;Vierteljährlich;Alle 5 Jahre;Nur bei Streik;B;§ 43 BetrVG;Der Betriebsrat hat einmal in jedem Kalendervierteljahr eine Betriebsversammlung einzuberufen.
210;Kuendigung;Darf eine schwangere Frau gekündigt werden?;Ja;Nein (Kündigungsverbot);Nur bei Diebstahl;Nur in der Probezeit;B;§ 17 MuSchG;Es besteht ein absolutes Kündigungsverbot während der Schwangerschaft und bis zum Ablauf von vier Monaten nach der Entbindung.
211;Arbeitszeit;Wie viel Pause steht einem MA bei 7 Std. Arbeit zu?;15 Min.;30 Min.;45 Min.;60 Min.;B;§ 4 ArbZG;Bei einer Arbeitszeit von mehr als sechs bis zu neun Stunden ist eine Ruhepause von mindestens 30 Minuten vorgeschrieben.
212;Stahl;Was ist ein "Aufsichtsratsmitglied der Arbeitnehmer"?;Ein Spion;Vertreter der Belegschaft im AR;Der Pförtner;Der Werksleiter;B;MitbestG;Diese Mitglieder werden von der Belegschaft gewählt und haben im Aufsichtsrat die gleichen Rechte wie die Arbeitgebervertreter.
213;Rechte;Darf der BR eine "Beschwerdestelle" fordern?;Nein;Ja (Beschwerderecht);Nur bei Kündigungen;Nur bei Azubis;B;§ 84 / § 85 BetrVG;Jeder Arbeitnehmer hat das Recht, sich beim Betriebsrat zu beschweren, wenn er sich benachteiligt oder ungerecht behandelt fühlt.
214;Urlaub;Muss der AG bei Urlaubswünschen "soziale Aspekte" prüfen?;Nein;Ja (z.B. Schulferien der Kinder);Nur im Winter;Nur bei Azubis;B;§ 7 BUrlG;Bei der zeitlichen Festlegung des Urlaubs sind die Wünsche des Arbeitnehmers zu berücksichtigen, sofern keine dringenden betrieblichen Belange oder Urlaubswünsche anderer vorrangig sind.
215;Gleichstellung;Was ist eine "Frauenbeauftragte"?;Ein BR-Mitglied;In der Regel Ansprechpartnerin im Betrieb;Gibt es nicht;Nur in der Politik;B;BetrVG / GleichstG;Im privaten Sektor übernimmt der BR diese Aufgabe (§ 80); im öffentlichen Dienst gibt es oft explizite Gleichstellungsbeauftragte.
216;IT-Datenschutz;Darf der AG private Messenger (z.B. WhatsApp) für Dienstliches erzwingen?;Ja;Nein (Datenschutz/Privatgerät);Nur im Notfall;Nur nachts;B;DSGVO / PersR;Die Nutzung privater Endgeräte oder Messenger für dienstliche Zwecke kann nicht einseitig angeordnet werden.
217;Personal;Was ist eine "Personalakte"?;Ein Buch;Sammlung aller MA-Daten;Ein Gesetz;Ein Kündigungsgrund;B;§ 82 / § 83 BetrVG;Die Akte enthält alle Unterlagen, die das Arbeitsverhältnis betreffen. Der MA hat jederzeit das Recht auf Einsicht.
218;Allgemein;Darf der BR-Vorsitzende alleine einen Anwalt beauftragen?;Ja;Nein (BR-Beschluss erforderlich);Nur im Notfall;Nur bei Geld;B;§ 33 BetrVG;Rechtshandlungen (wie Beauftragung eines Anwalts) setzen einen gültigen Mehrheitsbeschluss des Gremiums voraus.
219;Versetzung;Darf der BR widersprechen, wenn der MA durch Versetzung "Lohn verliert"?;Nein;Ja (Benachteiligung ohne Grund);Nur bei Azubis;Nur im Sommer;B;§ 99 Abs. 2 Nr. 4 BetrVG;Wenn die Besorgnis besteht, dass der Arbeitnehmer durch die Versetzung benachteiligt wird, ohne dass dies durch sachliche Gründe gerechtfertigt ist.
220;Kuendigung;Gilt Kündigungsschutz bei Eigenkündigung des MA?;Ja;Nein (KSchG nur bei AG-Kündigung);Nur bei Stahl;Nur bei Rentneren;B;§ 1 KSchG;Das Kündigungsschutzgesetz schützt nur vor einseitigen Kündigungen durch den Arbeitgeber.
221;Arbeitszeit;Darf der BR "Überstundenzuschläge" für Azubis fordern?;Nein;Ja (Verhandlungssache);Nur bei Hitze;Nur am Wochenende;B;§ 87 BetrVG / JArbSchG;Mehrarbeit bei Azubis ist streng geregelt; der BR wacht über die Einhaltung und kann Vergütungsregeln mitgestalten.
222;Stahl;Was regelt die "Konti-Schicht"?;Urlaub;Durchgehende Produktion (7 Tage/Woche);Nur Montage;Nur Büro;B;§ 87 BetrVG / BV;In der Stahlindustrie üblich, um die Hochöfen 24/7 zu betreiben. Die Ausgestaltung (Rhythmus) ist mitbestimmungspflichtig.
223;Rechte;Darf der BR während der Freizeit BR-Arbeit machen?;Nein;Ja (Anspruch auf Freizeitausgleich);Nur nachts;Nur bei Streik;B;§ 37 Abs. 3 BetrVG;Wird BR-Arbeit aus betrieblichen Gründen außerhalb der Arbeitszeit durchgeführt, hat das Mitglied Anspruch auf Freizeitausgleich.
224;Arbeitsschutz;Was ist ein "Ersthelfer"?;Ein Arzt;MA mit Erster-Hilfe-Ausbildung;Der BR-Chef;Ein Azubi;B;DGUV Vorschrift 1;Der AG muss sicherstellen, dass bei Unfällen Ersthelfer zur Verfügung stehen (Anzahl je nach Betriebsgröße).
225;Gehalt;Was ist eine "Abfindung"?;Lohnvorschuss;Einmalzahlung bei Kündigung;Ein Kredit;Urlaubsgeld;B;§ 9 / § 10 KSchG;Zahlung des AG an den MA bei Beendigung des Arbeitsverhältnisses (oft im Rahmen eines Sozialplans).
226;Bildung;Darf der AG die Kosten für "Rechtsschutz-Versicherung" des BR ablehnen?;Ja (AG trägt Kosten direkt);Nein;Nur bei Stahl;Nur privat;A;§ 40 BetrVG;Der AG muss die erforderlichen Kosten direkt tragen; eine Versicherung ist daher meist nicht erforderlich und vom AG nicht zu zahlen.
227;Allgemein;Was ist ein "Listenwahl"-Verfahren?;Wahl einer Person;Wahl einer Vorschlagsliste;Lose ziehen;Nur für Azubis;B;§ 14 BetrVG;Werden mehrere Vorschlagslisten eingereicht, erfolgt die Wahl nach den Grundsätzen der Verhältniswahl (Listenwahl).
228;IT-Datenschutz;Was ist "Homeoffice"?;Urlaub;Arbeiten von zu Hause;Schlafen;Krankmeldung;B;§ 87 BetrVG / BV;Die Einführung und Ausgestaltung von mobiler Arbeit (Homeoffice) unterliegt der Mitbestimmung des BR.
229;Jugend;Darf die JAV eine eigene Versammlung abhalten?;Nein;Ja (Jugend- und Auszubildendenversammlung);Nur mit dem Chef;Nur am Sonntag;B;§ 71 BetrVG;Die JAV hat das Recht, vor oder nach jeder Betriebsversammlung eine eigene Versammlung durchzuführen.
230;Arbeitszeit;Was ist "Mehrarbeit"?;Arbeit am Ofen;Arbeit über gesetzliche Höchstgrenze;Pause;Überstunden;B;ArbZG;Arbeit, die über die gesetzlichen Grenzen des Arbeitszeitgesetzes hinausgeht (oft fälschlich mit Überstunden verwechselt).
231;Stahl;Darf der BR die Kantinen-Öffnungszeiten mitbestimmen?;Nein;Ja (Soziale Angelegenheit);Nur bei Nachtschicht;Nur am Wochenende;B;§ 87 Abs. 1 Nr. 8 BetrVG;Die Nutzungszeiten von Sozialeinrichtungen (wie der Kantine) unterliegen der Mitbestimmung.
232;Abmahnung;Muss der BR vor einer Abmahnung angehört werden?;Ja;Nein (nur bei Kündigung);Nur bei Stahl;Nur bei Azubis;B;§ 102 BetrVG;Gesetzlich ist die Anhörung des BR nur vor Kündigungen vorgeschrieben, nicht vor Abmahnungen.
233;Urlaub;Was ist der "Bundesurlaubstag"?;Feiertag;Gesetzlicher Anspruch (BUrlG);Ein Streiktag;Lohnfreier Tag;B;BUrlG;Das Bundesurlaubsgesetz regelt den gesetzlichen Mindestanspruch auf bezahlten Erholungsurlaub.
234;Betriebsvereinbarung;Gilt eine BV auch für neue Mitarbeiter?;Nein;Ja (unmittelbar und zwingend);Nur nach 1 Jahr;Nur bei Stahl;B;§ 77 Abs. 4 BetrVG;BVs gelten für alle Arbeitnehmer des Betriebs, unabhängig davon, wann sie eingestellt wurden.
235;Personal;Darf der BR die Stellenausschreibung "extern" verbieten?;Nein;Ja (erst intern ausschreiben);Nur bei Azubis;Nur nachts;B;§ 93 BetrVG;Der BR kann verlangen, dass Arbeitsplätze vor ihrer Besetzung innerhalb des Betriebs ausgeschrieben werden.
236;Arbeitsschutz;Muss der BR bei der "Arbeitsplatz-Ergonomie" mitreden?;Nein;Ja (Gesundheitsschutz);Nur bei Büros;Nur im Sommer;B;§ 87 Abs. 1 Nr. 7 BetrVG;Die Gestaltung von Arbeitsplätzen zur Vermeidung von Gesundheitsschäden unterliegt der Mitbestimmung.
237;Kuendigung;Darf der AG kündigen, weil der MA "zu oft krank" ist?;Nein;Ja (krankenbedingte Kündigung);Nur bei Diebstahl;Nur bei Azubis;B;KSchG;Unter strengen Bedingungen (negative Prognose, Beeinträchtigung betrieblicher Interessen) ist dies möglich.
238;Arbeitszeit;Darf der AG "Bereitschaftsdienst" einseitig anordnen?;Ja;Nein (Mitbestimmung);Nur im Winter;Nur nachts;B;§ 87 Abs. 1 Nr. 2 BetrVG;Die Festlegung von Bereitschaftsdiensten ist mitbestimmungspflichtig, da sie Beginn und Ende der Arbeitszeit regelt.
239;Stahl;Was regelt die "Arbeitsdirektor-Klausel"?;Die Helmfarbe;Besetzung des Arbeitsdirektors gegen BR-Mehrheit;Den Lohn;Den Urlaub;B;MontanMitbestG;Der Arbeitsdirektor kann im Montan-Bereich nicht gegen die Stimmen der Mehrheit der AN-Vertreter im AR bestellt werden.
240;Allgemein;Wer leitet die Betriebsratswahl?;Der Chef;Der Wahlvorstand;Der BR-Vorsitzende;Die Gewerkschaft;B;§ 18 BetrVG;Der Wahlvorstand ist für die Vorbereitung und Durchführung der BR-Wahl verantwortlich.
241;IT-Datenschutz;Darf der AG "Videoüberwachung" ohne BR einführen?;Ja;Nein (zwingende Mitbestimmung);Nur bei Diebstahl;Nur nachts;B;§ 87 Abs. 1 Nr. 6 BetrVG;Technik zur Überwachung des Verhaltens (Kameras) bedarf zwingend der Zustimmung des BR.
242;Freistellung;Was ist eine "Teilfreistellung"?;Nur 50% Arbeit;BR-Mitglied ist teilweise freigestellt;Urlaub;Pause;B;§ 38 BetrVG;Freistellungen können auch als Teilfreistellungen (z.B. 50% BR, 50% normaler Job) gewährt werden.
243;Versetzung;Muss der BR bei der "Rückversetzung" zustimmen?;Nein;Ja (erneute personelle Maßnahme);Nur bei Azubis;Nur im Sommer;B;§ 99 BetrVG;Auch die Rücknahme einer Versetzung oder eine erneute Versetzung an den alten Platz ist mitbestimmungspflichtig.
244;Geheimhaltung;Darf der BR wirtschaftliche Daten an die Gewerkschaft geben?;Nein;Ja (im Rahmen der Beraterfunktion);Nur bei Streik;Nur bei Geld;B;§ 79 / § 108 BetrVG;Geheimhaltungspflichtige Daten dürfen nur unter engen Grenzen und zur Beratung weitergegeben werden.
245;Betriebsvereinbarung;Wie wird eine BV "gekündigt"?;Durch Zerreißen;Schriftlich mit Frist (meist 3 Monate);Nur durch Streik;Gar nicht;B;§ 77 Abs. 5 BetrVG;Die Kündigungsfrist einer Betriebsvereinbarung beträgt, soweit nichts anderes vereinbart ist, drei Monate.
246;Arbeitsschutz;Was ist eine "PSA-Verordnung"?;Regeln für Pausen;Regeln für Persönliche Schutzausrüstung;Lohnregeln;Parkplatzregeln;B;PSA-BV;Vorschriften über die Bereitstellung und Benutzung von persönlicher Schutzausrüstung bei der Arbeit.
247;Kuendigung;Was ist eine "Verdachtskündigung"?;Kündigung ohne Grund;Kündigung bei dringendem Tatverdacht;Kündigung bei Urlaub;Ein Witz;B;Rechtsprechung;Der dringende Verdacht einer schweren Verfehlung kann eine Kündigung rechtfertigen, wenn der MA vorher angehört wurde.
248;Urlaub;Darf der BR die "Urlaubssperre" mitbestimmen?;Nein;Ja (allgemeine Urlaubsgrundsätze);Nur bei Hitze;Nur im Winter;B;§ 87 Abs. 1 Nr. 5 BetrVG;Die Festlegung von Zeiten, in denen kein Urlaub genommen werden darf, unterliegt der Mitbestimmung.
249;Arbeitszeit;Darf der BR "Zeitzuschläge" für Sonn- und Feiertage fordern?;Nein;Ja (Mitbestimmung);Nur bei Stahl;Nur für Azubis;B;§ 87 Abs. 1 Nr. 10 BetrVG;Die Aufstellung von Grundsätzen für die Vergütung von besonderen Belastungen (Sonntagsarbeit) ist mitbestimmungspflichtig.
250;Wirtschaft;Was ist ein "Interessenausgleich"?;Ein Fest;Vereinbarung über das "Ob", "Wann" und "Wie" einer Änderung;Lohnabrechnung;Pause;B;§ 112 BetrVG;Bei Betriebsänderungen versuchen AG und BR einen Ausgleich der Interessen zu finden (z.B. Zeitplan der Umstrukturierung).
251;Wirtschaft;Was ist ein "Sozialplan"?;Ein Kochbuch;Ausgleich wirtschaftlicher Nachteile für MA;Ein Sportevent;Eine Kündigung;B;§ 112 BetrVG;Ein Sozialplan mildert die Folgen einer Betriebsänderung (z.B. durch Abfindungen oder Qualifizierungen) ab.
252;Arbeitszeit;Darf der AG "Vertrauensarbeitszeit" kontrollieren?;Nein;Ja (Dokumentationspflicht);Nur bei Diebstahl;Nur bei Azubis;B;EuGH / BAG Urteil;Der AG ist gesetzlich verpflichtet, die Arbeitszeit zu erfassen, auch wenn er auf die Kontrolle der Anwesenheit verzichtet.
253;Kuendigung;Darf der BR eine Kündigung wegen "Streikteilnahme" ablehnen?;Ja (Maßregelungsverbot);Nein;Nur bei Azubis;Nur im Büro;A;§ 612a BGB / GG;Die Teilnahme an einem rechtmäßigen Streik ist ein Grundrecht und darf nicht zu einer Kündigung führen.
254;Rechte;Darf der BR-Vorsitzende den AG allein verpflichten?;Ja;Nein (nur nach Beschluss);Nur im Notfall;Nur nachts;B;§ 26 BetrVG;Der Vorsitzende ist nur der "Bote" des Gremiums; ohne Beschluss kann er keine wirksamen Verträge mit dem AG schließen.
255;Arbeitsschutz;Wer zahlt die ärztliche Untersuchung für Nachtschicht?;Der MA;Der Arbeitgeber;Die Krankenkasse;Niemand;B;§ 6 Abs. 3 ArbZG;Nachtarbeitnehmer haben das Recht auf regelmäßige Untersuchungen; die Kosten trägt der Arbeitgeber.
256;Gehalt;Was ist eine "Sonderprämie" für Verbesserungsvorschläge?;Urlaubsgeld;Prämie für das betriebliche Vorschlagswesen;Eine Strafe;Ein Kredit;B;§ 87 Abs. 1 Nr. 12 BetrVG;Die Grundsätze über die Honorierung von Verbesserungsvorschlägen unterliegen der Mitbestimmung des BR.
257;Personal;Darf der BR die Versetzung eines "leitenden Angestellten" verhindern?;Ja;Nein (eingeschränktes Recht);Nur bei Azubis;Nur nachts;B;§ 5 / § 105 BetrVG;Für leitende Angestellte gilt das BetrVG nur sehr eingeschränkt; der BR hat hier in der Regel kein Mitbestimmungsrecht bei Versetzungen.
258;IT-Datenschutz;Darf der AG "Keycards" zur Bewegungskontrolle auswerten?;Ja;Nein (Zweckbindung/Mitbestimmung);Nur bei Diebstahl;Nur im Winter;B;§ 87 Abs. 1 Nr. 6 BetrVG;Keycards dienen der Sicherheit; eine heimliche Auswertung zur Leistungskontrolle ist unzulässig und mitbestimmungspflichtig.
259;Versetzung;Gilt der Entzug eines Dienstwagens als Versetzung?;Nein;Ja (Änderung der Arbeitsbedingungen);Nur bei Azubis;Nur im Sommer;B;§ 95 Abs. 3 / Arbeitsrecht;Der Entzug von Arbeitsmitteln, die auch privat genutzt werden dürfen, ist meist eine Vertragsänderung, keine Versetzung im Sinne des BetrVG.
260;Allgemein;Was ist ein "Sachverständiger"?;Ein Zeuge;Experte zur Unterstützung des BR;Der Chef;Ein Polizist;B;§ 80 Abs. 3 BetrVG;Der BR kann sich bei Fachfragen (z.B. IT, Bilanzen) durch externe Experten beraten lassen, sofern dies erforderlich ist.
261;Stahl;Was ist die "Montan-Stolperstein-Klausel"?;Ein Baufehler;Spezielle Veto-Rechte im AR;Ein Lohnabzug;Ein Urlaubsmodell;B;MontanMitbestG;Umgangssprachlich für die starke Stellung der AN-Seite, die wichtige Personalentscheidungen im Vorstand blockieren kann.
262;Arbeitszeit;Darf der BR Pausen "verlängern"?;Nein;Ja (Mitbestimmung);Nur nachts;Nur bei Hitze;B;§ 87 Abs. 1 Nr. 2 BetrVG;Über die Dauer und Lage der Pausen entscheidet der BR zwingend mit; er kann auch längere Pausen vorschlagen.
263;Kuendigung;Darf der AG "mündlich" kündigen?;Ja;Nein (Nichtigkeit);Nur bei Azubis;Nur im Ausland;B;§ 623 BGB;Eine mündliche Kündigung ist rechtlich nicht existent. Sie muss zwingend auf Papier mit Unterschrift erfolgen.
264;Rechte;Darf der BR in den "Aufsichtsrat" gewählt werden?;Nein;Ja (Arbeitnehmervertreter);Nur bei Stahl;Nur bei Kündigungen;B;MitbestG / DrittelparitätG;Je nach Unternehmensgröße werden 33% bis 50% der Aufsichtsratsmitglieder von der Belegschaft gewählt.
265;Arbeitsschutz;Was ist eine "Sifa"?;Eine App;Sicherheitsfachkraft;Der BR-Chef;Eine Versicherung;B;§ 5 ASiG;Fachkräfte für Arbeitssicherheit beraten den AG und den BR beim Unfall- und Gesundheitsschutz.
266;Bildung;Darf der BR Schulungen zum "Mobbing" besuchen?;Nein;Ja (erforderlich zur Überwachung);Nur der Vorsitz;Nur privat;B;§ 37 Abs. 6 / § 80 BetrVG;Der BR muss über die Einhaltung von Schutzgesetzen wachen; Wissen über Mobbing-Prävention ist daher erforderlich.
267;Wirtschaft;Muss der AG über "Firmenzukäufe" informieren?;Nein;Ja (im Wirtschaftsausschuss);Nur bei Erfolg;Nur bei Stahl;B;§ 106 BetrVG;Wirtschaftliche Angelegenheiten wie die Übernahme anderer Unternehmen müssen dem WA rechtzeitig mitgeteilt werden.
268;Personal;Was ist eine "Eignungsuntersuchung"?;Ein Sporttest;Prüfung der gesundheitlichen Eignung;Ein Kündigungsgrund;Ein Urlaubsantrag;B;§ 94 / § 95 BetrVG;Die Festlegung von Kriterien für solche Untersuchungen unterliegt der Mitbestimmung des BR.
269;IT-Datenschutz;Was ist die "DSGVO"?;Ein Verein;Datenschutz-Grundverordnung;Ein Gesetz für Lohn;Ein Kündigungsgrund;B;DSGVO;Europäische Verordnung, die den Schutz personenbezogener Daten regelt und auch im Betrieb streng einzuhalten ist.
270;Allgemein;Was passiert, wenn die Einigungsstelle keine Lösung findet?;Der Chef entscheidet;Vorsitzender entscheidet per Stimme;Streik;Arbeitsgericht;B;§ 76 BetrVG;Der Vorsitzende der Einigungsstelle gibt bei Stimmengleichheit nach einer Beratung den Ausschlag.
271;Arbeitszeit;Darf der AG "Rufbereitschaft" während der Pause anordnen?;Ja;Nein (Pause muss frei von Arbeit sein);Nur nachts;Nur bei Azubis;B;§ 4 ArbZG;Während der Pause darf der MA nicht zur Arbeit oder zum Bereithalten zur Arbeit verpflichtet werden.
272;Stahl;Was ist ein "Konzernbetriebsrat" (KBR)?;Alle BR-Mitglieder;Gremium für den gesamten Konzern;Die Gewerkschaft;Der Vorstand;B;§ 54 BetrVG;Der KBR ist für Angelegenheiten zuständig, die den Konzern oder mehrere Tochterunternehmen betreffen.
273;Kuendigung;Was ist eine "betriebsbedingte Kündigung"?;Kündigung wegen Fehlverhalten;Kündigung wegen Arbeitsplatzwegfall;Kündigung bei Krankheit;Ein Lob;B;§ 1 KSchG;Wenn dringende betriebliche Erfordernisse (z.B. Auftragsmangel) einer Weiterbeschäftigung entgegenstehen.
274;Rechte;Darf der BR die Personalakte eines MA ohne dessen Wissen einsehen?;Ja;Nein (Einwilligung nötig);Nur bei Diebstahl;Nur bei Stahl;B;§ 83 Abs. 1 BetrVG;Nur der MA selbst darf Einsicht nehmen; er kann ein BR-Mitglied dazu einladen, aber der BR hat kein eigenständiges Recht.
275;Arbeitsschutz;Wer prüft die "elektrischen Geräte" im Werk?;Der Kollege;Qualifizierte Elektrofachkraft;Der BR-Chef;Die Polizei;B;DGUV Vorschrift 3;Alle elektrischen Betriebsmittel müssen regelmäßig auf Sicherheit geprüft werden (E-Check).
276;Personal;Darf der BR Bewerber "interviewen"?;Ja;Nein (nur Teilnahme am Gespräch);Nur bei Azubis;Nur nachts;B;§ 99 BetrVG;Der BR hat ein Teilnahmerecht an Vorstellungsgesprächen, führt diese aber nicht selbst wie ein Personaler.
277;Gehalt;Was ist eine "Ausschlussfrist"?;Zeit bis zur Rente;Zeitraum zur Geltendmachung von Ansprüchen;Eine Pause;Ein Abzug;B;Tarifvertrag / Vertrag;Wer Ansprüche (z.B. Überstundenlohn) nicht innerhalb dieser Frist anmeldet, verliert sie unwiderruflich.
278;Versetzung;Darf der BR eine Versetzung ablehnen, wenn kein Ersatz da ist?;Nein;Ja (Nachteile für verbleibende MA);Nur bei Azubis;Nur im Sommer;B;§ 99 Abs. 2 Nr. 3 BetrVG;Wenn durch die Maßnahme die Gefahr besteht, dass die verbleibenden MA unzumutbar belastet werden.
279;Allgemein;Wer zahlt die BR-Wahl?;Die Gewerkschaft;Der Arbeitgeber;Der BR privat;Die Gemeinde;B;§ 20 Abs. 3 BetrVG;Die Kosten der Wahl trägt der Arbeitgeber (Wahlunterlagen, Porto, Zeitversäumnis).
280;Arbeitszeit;Darf der AG "Überstunden" mit dem Gehalt pauschal abgelten?;Ja;Nein (oft unzulässig/Transparenz);Nur bei Chefs;Nur im Winter;B;BGB / BAG;Klauseln wie "Alle Überstunden sind mit dem Gehalt abgegolten" sind meist unwirksam, wenn keine konkrete Stundenzahl genannt wird.
